1,381,65444
2,190,65444
3,127,65103
4,95,65103
5,76,64934
6,63,65103
7,54,64934
8,47,65103
9,42,64598
10,38,64102
11,34,64934
12,31,65103
13,29,64102
14,27,63775
15,25,64102
16,23,65103
17,22,63938
18,21,63130
19,20,62656
20,19,62499
21,18,62656
22,17,63130
23,16,63938
24,15,65103
25,15,62499
26,14,64102
27,14,61727
28,13,63775
29,13,61575
30,12,64102
31,12,62034
32,11,65103
33,11,63130
34,11,61274
35,10,64934
36,10,63130
37,10,61424
38,10,59808
39,9,64102
40,9,62499
41,9,60975
42,9,59523
43,8,64598
44,8,63130
45,8,61727
46,8,60385
47,8,59101
48,7,65103
49,7,63775
50,7,62499
51,7,61274
52,7,60095
53,7,58961
54,7,57869
55,6,64934
56,6,63775
57,6,62656
58,6,61575
59,6,60532
60,6,59523
61,6,58547
62,6,57603
63,6,56688
64,5,65103
65,5,64102
66,5,63130
67,5,62188
68,5,61274
69,5,60385
70,5,59523
71,5,58684
72,5,57869
73,5,57077
74,5,56305
75,5,55555
76,5,54824
77,4,64934
78,4,64102
79,4,63290
80,4,62499
81,4,61727
82,4,60975
83,4,60240
84,4,59523
85,4,58823
86,4,58139
87,4,57470
88,4,56817
89,4,56179
90,4,55555
91,4,54944
92,4,54347
93,4,53762
94,4,53190
95,4,52631
96,3,65103
97,3,64432
98,3,63775
99,3,63130
100,3,62499
